strategy,era,n_52w,unique_signal_weeks,mean_52w,median_52w,win_52w,median_maxdd_52w,matched_n,mean_matched_excess_52w,pct_outperform_matched_52w
EMA_touch_limit,2004-2009,5105,312,0.22216769314677,0.0009720806062194498,0.5012732615083252,-0.22515395218064627,4983,-0.01118531987683605,0.4710014047762392
EMA_touch_limit,2010-2019,7549,519,0.1298987920416364,0.12393032978756291,0.6671082262551331,-0.13608212531354336,7538,0.004120185956997041,0.49907137171663574
EMA_touch_limit,2020-2024,4333,208,0.2083681506224912,0.1764308318483363,0.7172859450726979,-0.13316215631324846,4304,0.036424874933941656,0.5146375464684015
EMA_touch_limit,pre2015,8812,570,0.20388618467972258,0.07967782376766752,0.6037221970040854,-0.16057872124173905,8684,-0.0025362787442968046,0.48813910640257946
EMA_touch_limit,2015-2024,8175,469,0.14935610909921873,0.12634698176336623,0.6584709480122324,-0.14883281414012894,8141,0.01893123929845572,0.5017811079719936
EMA_touch_limit_fresh26,2004-2009,1139,201,-0.0747458734701226,-0.06419469354806295,0.41264266900790164,-0.33436696848360536,1126,-0.015113511883817493,0.48046181172291297
EMA_touch_limit_fresh26,2010-2019,1941,374,0.16815439086474773,0.17534572850298002,0.7243688820195775,-0.12574591632623788,1938,0.029995846093072237,0.564499484004128
EMA_touch_limit_fresh26,2020-2024,1259,137,0.21143384208467753,0.178973835693351,0.7267672756155679,-0.16599588784737096,1253,0.013165628764368812,0.5115722266560255
EMA_touch_limit_fresh26,pre2015,1955,368,0.040155734053407555,0.056217238169595785,0.5590792838874681,-0.19338194688216293,1942,0.0028565011106361777,0.5159629248197735
EMA_touch_limit_fresh26,2015-2024,2384,344,0.1799257004598167,0.1623928884152822,0.712248322147651,-0.1563447664197407,2375,0.021921407592460702,0.5364210526315789
EMA_touch_limit_rising,2004-2009,3353,301,0.28619012565500285,-0.0310715820394597,0.4598866686549359,-0.2655270987595004,3241,-0.00903490657969081,0.474544893551373
EMA_touch_limit_rising,2010-2019,5256,507,0.1408870336634805,0.14016676472651413,0.6841704718417048,-0.13064074007163,5247,0.010075379200473366,0.5130550790928149
EMA_touch_limit_rising,2020-2024,3121,203,0.1910158921715068,0.16457379674564954,0.7077859660365268,-0.1448716564645135,3095,0.019056603012660267,0.4975767366720517
EMA_touch_limit_rising,pre2015,5828,548,0.24589582177674202,0.07288917279971319,0.5895676046671242,-0.170996676154465,5712,0.00044935624691182485,0.4956232492997199
EMA_touch_limit_rising,2015-2024,5902,463,0.14625169271584182,0.12779139565787023,0.6626567265333785,-0.15381729893322088,5871,0.013625761519660879,0.5005961505706013
SMA_fresh26_rising_reject,2004-2009,469,149,-0.10920799402220246,-0.10225259246797214,0.3304904051172708,-0.34016651107084217,467,-0.017962546614682117,0.4582441113490364
SMA_fresh26_rising_reject,2010-2019,777,265,0.1560146517561265,0.16773583982583395,0.7271557271557272,-0.12519963077971097,775,0.013561534869662266,0.5380645161290323
SMA_fresh26_rising_reject,2020-2024,515,113,0.1795257980640388,0.14053862282484952,0.7048543689320388,-0.18346431775369265,507,-0.002876714306700544,0.4990138067061144
SMA_fresh26_rising_reject,pre2015,757,248,0.00640684617601735,0.0,0.4940554821664465,-0.21059602649006626,755,-0.00674457473913614,0.49801324503311256
SMA_fresh26_rising_reject,2015-2024,1004,279,0.15698270783449422,0.13865999917235783,0.7061752988047809,-0.15907042332476962,994,0.00579008051255767,0.5110663983903421
SMA_reject_close,2004-2009,2364,307,0.0036087025726264667,-0.020692197332267015,0.4691201353637902,-0.23268929988017817,2342,0.005870766188935531,0.4713919726729291
SMA_reject_close,2010-2019,3512,506,0.12172395833991108,0.12426664581080571,0.6722665148063781,-0.13195827863229193,3507,-0.0033443046798047114,0.4816082121471343
SMA_reject_close,2020-2024,1929,205,0.17810610282897354,0.13918601617531956,0.7045101088646968,-0.13691578471949495,1915,0.02275238905979517,0.5101827676240209
SMA_reject_close,pre2015,4143,555,0.0742184035788729,0.06284119142185429,0.5841177890417572,-0.1681370150372704,4120,0.006155803454804483,0.48058252427184467
SMA_reject_close,2015-2024,3662,463,0.1289200821685626,0.11445479590847574,0.6578372474057892,-0.14396255775642786,3644,0.005551529285983854,0.49121844127332603
SMA_touch_limit,2004-2009,4601,313,0.33889584550325497,-0.014660675073311258,0.480547707020213,-0.24073513796844626,4483,-0.004908175948863474,0.4695516395271024
SMA_touch_limit,2010-2019,6634,517,0.12861562684988437,0.12606292895139892,0.669731685257763,-0.13374846322185702,6615,0.002677113123985071,0.4876795162509448
SMA_touch_limit,2020-2024,3876,210,0.20850194680976888,0.16466620855327907,0.7257481940144479,-0.13107888218840297,3853,0.025968636014846627,0.5055800674798858
SMA_touch_limit,pre2015,7861,570,0.27221763801383075,0.0713865694460778,0.5892380104312428,-0.17594355555193808,7730,0.0015267319241765004,0.4798188874514877
SMA_touch_limit,2015-2024,7250,470,0.14906848925386898,0.12767183108084257,0.666896551724138,-0.14436485320975984,7221,0.011627373954815959,0.4943913585375987
