symbol,series_id,week,prev_ema,close,roll52_high,dd52,entry,entry_dd,ret_13,ret_26,ret_52,source_index,control_13,control_n_13,excess_13,control_26,control_n_26,excess_26,control_52,control_n_52,excess_52
NOC,NOC#0,2025-02-21,422.86287191032915,436.98516845703125,539.6786849463263,-0.19028640439914424,422.86287191032915,-0.21645437608419726,0.09248290562227202,0.3793948336129527,0.6981617121649175,172746,0.002028164450465386,13,0.09045474117180663,0.03658879418895644,13,0.34280603942399623,0.12814358486256605,13,0.5700181273023515
NVR,NVR#0,2026-03-06,6887.057174349769,6958.830078125,8618.2802734375,-0.19255003813546312,6887.057174349769,-0.20087802254743947,-0.10229439829338782,,,176837,0.10255937311692787,21,-0.2048537714103157,,0,,,0,
OMC,OMC#0,2025-03-07,75.62558002718143,80.25554656982422,100.22292036904601,-0.19922961460010236,75.62558002718143,-0.24542629820894246,-0.1008380842300115,0.018849627698485083,0.10017648327816353,180651,0.04978020636589964,49,-0.15061829059591114,0.1379828082136889,49,-0.11913318051520383,0.11344057827967347,49,-0.013264095001509935
PFG,PFG#0,2025-04-11,68.01301332613505,69.3528823852539,86.32924876444787,-0.19664675208184101,68.01301332613505,-0.212167205210939,0.13979932718000265,0.13739125548323794,0.3390605015127348,187276,0.1302784139179256,27,0.009520913262077046,0.18024690980101643,27,-0.04285565431777849,0.16059139377547238,27,0.17846910773726243
PG,PG#0,2025-10-17,143.62706158937857,147.0749969482422,172.58490610970335,-0.14781077752677763,143.62706158937857,-0.1677889751373609,-0.015623724840795994,0.007827568523924633,,187752,0.03059092395647367,43,-0.046214648797269664,0.018302408367215417,43,-0.010474839843290784,,0,
ROP,ROP#0,2025-09-26,493.4286315904585,494.95684814453125,588.2827854491276,-0.15864128547182654,493.4286315904585,-0.16123904388304033,-0.09279343666710227,-0.30550277686854943,,204035,-0.028607382302055173,37,-0.0641860543650471,-0.07936734939655399,37,-0.22613542747199544,,0,
SHW,SHW#0,2026-03-20,306.3677342680243,302.7450256347656,376.9518135667577,-0.19686014302422283,306.3677342680243,-0.18724960792961687,0.04707504304053223,,,209426,0.09079435041404671,44,-0.04371930737351448,,0,,,0,
STE,STE#0,2025-01-03,199.74338233737288,201.47509765625,244.38009825931653,-0.17556667219905597,199.74338233737288,-0.18265282745970068,0.053335470185512435,0.17966653993477189,0.24492620768967788,214995,-0.09405969650894341,40,0.14739516669445585,0.045307158810264814,40,0.13435938112450707,-0.0008816770938834262,40,0.2458078847835613
SYK,SYK#0,2026-04-03,321.708651706911,330.65728759765625,400.78939106250806,-0.17498492981295966,321.708651706911,-0.19731245666446162,0.015017802015509396,,,219324,0.11628541993478891,31,-0.10126761791927952,,0,,,0,
UNP,UNP#0,2025-04-04,207.89387685624237,207.26931762695312,248.26019330352253,-0.16511255844570305,207.89387685624237,-0.16259681389165903,0.11130736544871955,0.12070871512665193,0.17100709924620716,237611,0.10142953601309856,51,0.009877829435620988,0.11751229463845547,51,0.003196420488196461,0.0711410144857001,51,0.09986608476050707
