,wealth
2018-03-09,1.5995495559689985
2018-03-12,1.6033604718307763
2018-03-13,1.5642581171414265
2018-03-14,1.5549792639144027
2018-03-15,1.560447338689177
2018-03-16,1.5674060320284775
2018-03-19,1.5390736987687912
2018-03-20,1.543050055702812
2018-03-21,1.532280583911262
2018-03-22,1.4877101544471376
2018-03-23,1.4444658643419959
2018-03-26,1.5538196649038902
2018-03-27,1.4824082077922482
2018-03-28,1.481083030299965
2018-03-29,1.5122318466641027
2018-04-02,1.4666680837188797
2018-04-03,1.486384564726269
2018-04-04,1.5297948455417671
2018-04-05,1.530623287588737
2018-04-06,1.4950006917976228
2018-04-09,1.5039478384229903
2018-04-10,1.538907845467963
2018-04-11,1.522007297926912
2018-04-12,1.55050603412554
2018-04-13,1.5422213388367854
2018-04-16,1.5602818976169341
2018-04-17,1.5917622831731997
2018-04-18,1.5978926718750588
2018-04-19,1.5924251467383983
2018-04-20,1.5740335684042353
2018-04-23,1.5798323879139669
2018-04-24,1.5428840649924556
2018-04-25,1.529463688578225
2018-04-26,1.5617730658195739
2018-04-27,1.5876202103478791
2018-04-30,1.5495120135967986
2018-05-01,1.5740335684042353
2018-05-02,1.5493462977054993
2018-05-03,1.5586246012944094
2018-05-04,1.5766846104364445
2018-05-07,1.594247609314109
2018-05-08,1.5874547692756367
2018-05-09,1.6061770923447563
2018-05-10,1.6222486482007243
2018-05-11,1.6187691641215456
2018-05-14,1.6242366892582063
2018-05-15,1.612473471756972
2018-05-16,1.6166331330019328
2018-05-17,1.6004920479245741
2018-05-18,1.6034871634159986
2018-05-21,1.6241218148924295
2018-05-22,1.622457510683954
2018-05-23,1.6417602516012082
2018-05-24,1.6359366983763575
2018-05-25,1.636768575661538
2018-05-29,1.6309443353890452
2018-05-30,1.6465863490591068
2018-05-31,1.6447555045021613
2018-06-01,1.677205314281577
2018-06-04,1.6918486354989308
2018-06-05,1.7005018631429638
2018-06-06,1.705494363539804
2018-06-07,1.6787028033225253
2018-06-08,1.691183435971749
2018-06-11,1.681531790694065
2018-06-12,1.6858581296970245
2018-06-13,1.6782034570961712
2018-06-14,1.6876886994349132
2018-06-15,1.6662224454923584
2018-06-18,1.6783699974446413
2018-06-19,1.6783699974446413
2018-06-20,1.6951768316872962
2018-06-21,1.6830296919635985
2018-06-22,1.6708817277827301
2018-06-25,1.6372677844783639
2018-06-26,1.6487495872653508
2018-06-27,1.6231233972587786
