row,symbol,date,time,old_R,bars_old,tag,line_test,status,setup_exact,canonical_r,canonical_r_rounded_2dp,r_delta,canonical_match_old,match_round_1dp,match_round_2dp,side,exit_reason,entry_time_utc,exit_time_utc,entry,stop,target,exit_price
55,BTC,2025-12-15,05:30,-1.0,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
56,ETH,2025-12-29,05:35,2.3,3.0,,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,LONG,TP,2025-12-28T22:40:00Z,2025-12-28T22:45:00Z,2941.57,2937.98,2949.8270000000007,2949.83
57,XRP,2023-08-15,05:40,-0.7,17.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
58,XRP,2023-10-12,05:55,2.3,1.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
59,BTC,2025-11-20,06:05,1.55,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
60,ETH,2025-11-20,06:05,-0.3,22.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
61,SUI,2025-11-20,06:05,1.0,51.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
62,DASH,2025-12-05,06:10,2.3,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
63,DASH,2025-11-26,06:30,2.3,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
64,SOL,2025-12-03,07:15,-1.0,5.0,Zone 1,,SETUP_ELIGIBLE_BUT_NO_CANONICAL_TRADE,True,,,,,,,,,,,,,,
65,BTC,2025-12-11,07:15,2.3,,,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2025-12-11T00:20:00Z,2025-12-11T00:35:00Z,91830.5,91998.6,91443.86999999998,91443.8
