row,symbol,date,time,manual_side,exact,engine_side,near,failed_gates
58,XRP,2023-10-12,05:55,L,False,,{},angle
59,BTC,2025-11-20,06:05,L,False,,{},"signal_range,break_retest"
60,ETH,2025-11-20,06:05,L,False,,{},signal_range
61,SUI,2025-11-20,06:05,L,False,,{},signal_range
62,DASH,2025-12-05,06:10,L,False,,{},break_retest
63,DASH,2025-11-26,06:30,L,False,,{},signal_range
64,SOL,2025-12-03,07:15,S,True,S,"{""0"":""S""}",
65,BTC,2025-12-11,07:15,S,True,S,"{""0"":""S""}",
66,ETH,2025-12-11,07:20,S,True,S,"{""0"":""S"",""5"":""S""}",
67,XRP,2025-12-19,07:20,S,False,,{},"signal_range,break_retest"
68,SUI,2025-12-25,07:25,S,True,S,"{""0"":""S""}",
69,SUI,2025-12-11,07:30,S,True,S,"{""0"":""S""}",
70,ETH,2025-12-23,07:30,L,False,,{},"signal_range,break_retest"
71,SOL,2025-12-11,07:35,S,False,,"{""-5"":""S""}",signal_range
72,BTC,2025-12-10,07:55,S,True,S,"{""0"":""S""}",
73,SOL,2026-01-01,08:00,L,True,L,"{""0"":""L""}",
74,BTC,2026-01-01,08:05,L,False,,{},signal_range
75,ETH,2026-01-01,08:10,L,True,L,"{""0"":""L""}",
76,SUI,2025-11-03,08:25,S,True,S,"{""0"":""S"",""5"":""S""}",
77,XRP,2025-11-23,08:25,L,True,L,"{""0"":""L""}",
78,BTC,2025-12-03,08:45,L,False,,{},signal_range
79,SOL,2025-11-15,08:50,L,False,,"{""-5"":""L""}",break_retest
80,BTC,2025-12-26,09:15,L,False,,{},signal_range
81,XRP,2023-10-11,09:20,S,False,,{},signal_range
82,SOL,2025-12-26,09:20,L,False,,{},signal_range
83,ETH,2025-12-26,09:20,L,False,,{},"signal_range,break_retest"
84,XRP,2023-08-18,09:25,S,False,,{},break_retest
85,XRP,2023-10-21,09:30,S,True,S,"{""0"":""S""}",
86,BTC,2025-11-21,09:40,S,False,,{},"signal_range,break_retest"
87,SUI,2025-11-05,09:50,L,True,L,"{""0"":""L""}",
88,XRP,2025-11-21,09:50,S,False,,{},"signal_range,break_retest"
89,ETH,2025-11-21,09:50,S,False,,{},signal_range
90,XRP,2023-08-21,10:10,S,True,S,"{""0"":""S"",""10"":""S""}",
91,SOL,2025-12-03,10:10,L,True,L,"{""0"":""L""}",
92,XRP,2025-12-29,10:25,L,True,L,"{""0"":""L""}",
93,SUI,2025-12-29,10:35,L,False,,{},"signal_range,break_retest"
94,ETH,2025-12-29,10:35,L,False,,{},signal_range
95,SUI,2025-11-24,11:05,L,False,,{},signal_range
96,XRP,2025-11-23,11:15,L,True,L,"{""0"":""L""}",
97,SUI,2025-12-17,11:15,S,False,,"{""10"":""S""}",signal_range
98,XRP,2025-12-14,11:20,S,True,S,"{""0"":""S""}",
99,BTC,2025-12-17,11:25,S,False,,{},break_retest
100,XRP,2023-10-13,11:25,S,True,S,"{""0"":""S"",""10"":""S""}",
101,SOL,2025-11-14,11:30,S,False,,{},signal_range
102,ETH,2025-12-03,11:30,L,True,L,"{""0"":""L"",""5"":""L""}",
103,ETH,2025-12-17,11:30,S,False,,{},signal_range
104,SUI,2025-12-02,11:35,L,True,L,"{""0"":""L""}",
105,XRP,2025-11-11,11:40,S,True,S,"{""0"":""S""}",
106,ETH,2025-11-11,12:10,S,True,S,"{""0"":""S""}",
107,SUI,2025-11-04,12:15,S,False,,{},signal_range
108,XRP,2025-12-20,12:15,L,False,,{},regime_side
109,BTC,2025-12-04,12:15,S,False,,{},signal_range
110,DASH,2025-11-26,12:20,L,False,,{},signal_range
111,XRP,2023-10-26,12:45,S,True,S,"{""0"":""S""}",
112,XRP,2023-10-20,12:55,S,True,S,"{""0"":""S""}",
113,XRP,2023-10-13,13:10,S,True,S,"{""0"":""S""}",
114,XRP,2023-10-06,13:35,S,False,,{},chop
115,SUI,2025-12-19,13:35,L,True,L,"{""0"":""L""}",
116,XRP,2026-01-03,13:40,S,True,S,"{""0"":""S""}",
117,ETH,2025-12-19,13:55,L,False,,{},signal_range
118,XRP,2023-08-18,14:00,S,False,,{},"regime_side,signal_range,break_retest"
119,XRP,2025-11-23,14:00,S,True,S,"{""0"":""S""}",
120,XRP,2025-12-07,14:05,S,False,,{},regime_side
121,SOL,2025-11-21,14:15,S,True,S,"{""0"":""S""}",
122,ETH,2025-11-21,14:15,S,False,,{},"signal_range,break_retest"
123,XRP,2025-12-29,14:15,S,True,S,"{""0"":""S""}",
124,SOL,2026-01-01,14:15,S,True,S,"{""0"":""S""}",
125,BTC,2025-11-21,14:20,S,True,S,"{""0"":""S""}",
126,XRP,2025-11-10,14:35,L,True,L,"{""0"":""L""}",
127,SUI,2025-11-02,14:40,L,True,L,"{""0"":""L"",""5"":""L""}",
128,SUI,2025-11-30,14:45,L,False,,"{""5"":""L""}","signal_range,break_retest"
129,XRP,2023-08-11,15:25,L,False,,{},"regime_side,break_retest"
130,XRP,2025-11-18,15:30,L,False,,{},signal_range
131,BTC,2025-11-25,15:45,S,False,,"{""5"":""S""}",signal_range
132,XRP,2023-10-18,15:45,S,False,,{},break_retest
133,SUI,2025-11-01,15:50,L,True,L,"{""0"":""L""}",
134,ETH,2025-12-05,16:05,S,True,S,"{""0"":""S""}",
135,XRP,2025-12-10,16:05,S,True,S,"{""0"":""S""}",
136,BTC,2025-11-27,16:15,L,False,,{},signal_range
137,XRP,2025-11-26,16:20,S,True,S,"{""0"":""S""}",
138,DASH,2025-12-05,16:25,S,False,,"{""5"":""S""}",break_retest
139,ETH,2025-12-29,16:30,S,False,,{},signal_range
140,XRP,2025-11-20,16:35,S,True,S,"{""-10"":""S"",""0"":""S""}",
141,ETH,2026-01-02,16:40,L,True,L,"{""0"":""L""}",
142,BTC,2025-11-26,16:45,S,True,S,"{""0"":""S""}",
143,SUI,2025-11-26,16:45,S,False,,{},break_retest
144,SUI,2025-12-26,16:45,L,False,,"{""10"":""L""}",signal_range
145,XRP,2025-12-23,17:00,L,False,,{},signal_range
146,BTC,2025-12-31,17:10,L,False,,"{""-5"":""L""}","signal_range,break_retest"
147,ETH,2025-12-18,17:15,L,True,L,"{""0"":""L""}",
148,BTC,2025-12-20,17:20,S,False,,{},"signal_range,break_retest"
149,SOL,2025-11-12,17:20,L,False,,{},break_retest
150,SUI,2025-11-02,17:25,S,True,S,"{""0"":""S""}",
151,BTC,2025-11-26,17:30,S,False,,{},"signal_range,break_retest"
152,DASH,2025-12-16,17:35,L,False,,{},signal_range
153,XRP,2023-10-16,17:35,L,True,L,"{""0"":""L""}",
154,XRP,2023-10-25,17:35,L,False,,{},break_retest
155,SUI,2025-12-22,17:35,L,True,L,"{""0"":""L""}",
156,SUI,2025-12-01,17:55,S,False,,{},signal_range
157,XRP,2025-11-22,18:00,S,True,S,"{""0"":""S""}",
158,BTC,2025-12-29,18:00,S,True,S,"{""0"":""S""}",
159,BTC,2025-12-24,18:05,L,False,,"{""-5"":""L""}",signal_range
160,SUI,2025-12-24,18:05,L,True,L,"{""0"":""L""}",
161,XRP,2025-11-29,18:10,L,False,,{},signal_range
162,SOL,2025-12-28,18:10,L,True,L,"{""0"":""L""}",
163,ETH,2025-12-14,18:30,S,False,,{},signal_range
164,XRP,2025-12-15,18:35,S,False,,{},signal_range
165,XRP,2023-08-13,18:40,S,False,,{},chop
166,SOL,2025-12-14,18:40,S,False,,{},signal_range
167,SUI,2025-12-16,18:55,L,False,,{},signal_range
168,BTC,2025-12-17,19:00,L,False,,{},"signal_range,break_retest"
169,XRP,2023-08-28,19:05,L,False,,{},signal_range
170,SUI,2025-12-29,19:05,S,False,,{},signal_range
171,ETH,2025-11-23,19:10,L,False,,{},signal_range
172,SOL,2025-11-26,19:10,S,True,S,"{""0"":""S""}",
173,BTC,2025-12-24,19:35,L,True,L,"{""-5"":""L"",""0"":""L""}",
174,SUI,2025-11-17,20:05,S,False,,{},signal_range
175,SUI,2025-11-22,20:05,L,False,,{},"regime_side,signal_range,break_retest"
176,SUI,2025-12-20,20:05,S,False,,"{""5"":""S""}",signal_range
177,SUI,2025-12-19,20:10,L,False,,{},angle
178,XRP,2023-08-02,20:20,S,False,,{},break_retest
179,XRP,2025-11-13,20:30,S,False,,{},signal_range
180,BTC,2025-12-05,20:35,S,False,,{},"signal_range,break_retest"
181,XRP,2023-08-31,21:00,S,True,S,"{""0"":""S""}",
182,SUI,2025-12-14,21:00,L,True,L,"{""0"":""L""}",
183,XRP,2023-10-22,21:05,L,True,L,"{""0"":""L""}",
184,SOL,2025-11-13,21:05,S,True,S,"{""0"":""S""}",
185,XRP,2026-01-01,21:05,L,False,,{},signal_range
186,SUI,2025-11-04,21:10,S,True,S,"{""0"":""S""}",
187,XRP,2025-12-07,21:15,S,False,,{},signal_range
188,XRP,2023-08-14,21:25,L,False,,{},"regime_side,chop"
189,ETH,2026-01-03,21:35,L,True,L,"{""0"":""L""}",
190,XRP,2023-08-27,21:45,L,True,L,"{""0"":""L""}",
191,BTC,2025-12-01,22:35,S,True,S,"{""0"":""S""}",
192,XRP,2025-11-20,22:55,S,True,S,"{""0"":""S""}",
193,SOL,2025-11-24,22:55,L,True,L,"{""0"":""L""}",
194,SUI,2025-11-24,22:55,L,True,L,"{""0"":""L""}",
195,SOL,2025-11-17,23:00,S,True,S,"{""0"":""S""}",
196,XRP,2025-11-15,23:10,S,True,S,"{""0"":""S""}",
197,BTC,2025-12-30,23:15,L,False,,{},break_retest
198,ETH,2025-11-13,23:15,S,True,S,"{""0"":""S""}",
199,SUI,2025-11-13,23:15,S,False,,{},signal_range
200,SOL,2025-11-13,23:20,S,True,S,"{""-5"":""S"",""0"":""S""}",
201,SUI,2025-11-04,23:40,S,True,S,"{""0"":""S""}",
202,SOL,2025-12-23,23:50,L,True,L,"{""0"":""L""}",
203,BTC,2025-12-07,23:55,L,False,,{},signal_range
