symbol,signal_ms,signal_iso,entry_ms,entry_iso,exit_ms,exit_iso,tclass,side,entry,stop,target,exit_price,exit_reason,R,ambiguous
QTUMUSDT,1655737199999,2022-06-20T14:59:59.999000Z,1655737200000,2022-06-20T15:00:00Z,1655738999999,2022-06-20T15:29:59.999000Z,NORMAL,LONG,2.822,2.7830000000000004,2.9116999999999993,2.7830000000000004,SL,-1.0,False
TRXUSDT,1655807399999,2022-06-21T10:29:59.999000Z,1655807400000,2022-06-21T10:30:00Z,1655821799999,2022-06-21T14:29:59.999000Z,NORMAL,LONG,0.06445000000000001,0.06383000000000001,0.06587599999999999,0.06587599999999999,TP,2.3,False
LITUSDT,1655971199999,2022-06-23T07:59:59.999000Z,1655971200000,2022-06-23T08:00:00Z,1655976599999,2022-06-23T09:29:59.999000Z,NORMAL,LONG,1.206,1.1780000000000002,1.2703999999999995,1.1780000000000002,SL,-1.0,False
AVAXUSDT,1655978399999,2022-06-23T09:59:59.999000Z,1655978400000,2022-06-23T10:00:00Z,1655992799999,2022-06-23T13:59:59.999000Z,NORMAL,LONG,17.6201,17.3499,18.24156,17.3499,SL,-1.0,False
XRPUSDT,1656061199999,2022-06-24T08:59:59.999000Z,1656061200000,2022-06-24T09:00:00Z,1656064799999,2022-06-24T09:59:59.999000Z,NORMAL,LONG,0.3842,0.3763,0.4023699999999999,0.3763,SL,-1.0,False
TRBUSDT,1656932399999,2022-07-04T10:59:59.999000Z,1656932400000,2022-07-04T11:00:00Z,1656946799999,2022-07-04T14:59:59.999000Z,NORMAL,LONG,10.951,10.839,11.2086,11.2086,TP,2.3,False
AAVEUSDT,1656950399999,2022-07-04T15:59:59.999000Z,1656950400000,2022-07-04T16:00:00Z,1656971999999,2022-07-04T21:59:59.999000Z,NORMAL,LONG,60.181,59.579,61.56559999999999,61.56559999999999,TP,2.3,False
ETCUSDT,1656952199999,2022-07-04T16:29:59.999000Z,1656952200000,2022-07-04T16:30:00Z,1656973799999,2022-07-04T22:29:59.999000Z,NORMAL,LONG,15.052999999999999,14.948,15.294499999999996,15.294499999999996,TP,2.3,False
DOTUSDT,1656953999999,2022-07-04T16:59:59.999000Z,1656954000000,2022-07-04T17:00:00Z,1656975599999,2022-07-04T22:59:59.999000Z,NORMAL,LONG,7.007000000000001,6.952999999999999,7.131200000000003,7.131200000000003,TP,2.3,False
BCHUSDT,1658129399999,2022-07-18T07:29:59.999000Z,1658129400000,2022-07-18T07:30:00Z,1658147399999,2022-07-18T12:29:59.999000Z,NORMAL,LONG,118.00000000000001,116.09,122.39300000000004,116.09,SL,-1.0,False
SANDUSDT,1658131199999,2022-07-18T07:59:59.999000Z,1658131200000,2022-07-18T08:00:00Z,1658132999999,2022-07-18T08:29:59.999000Z,NORMAL,LONG,1.2773100000000002,1.26289,1.3104760000000004,1.26289,SL,-1.0,False
PEOPLEUSDT,1658136599999,2022-07-18T09:29:59.999000Z,1658136600000,2022-07-18T09:30:00Z,1658147399999,2022-07-18T12:29:59.999000Z,NORMAL,LONG,0.02501,0.024560000000000002,0.026045,0.024560000000000002,SL,-1.0,False
AVAXUSDT,1658242799999,2022-07-19T14:59:59.999000Z,1658242800000,2022-07-19T15:00:00Z,1658244599999,2022-07-19T15:29:59.999000Z,NORMAL,LONG,25.060100000000002,24.5899,26.141560000000005,24.5899,SL,-1.0,False
1000SHIBUSDT,1658248199999,2022-07-19T16:29:59.999000Z,1658248200000,2022-07-19T16:30:00Z,1658251799999,2022-07-19T17:29:59.999000Z,NORMAL,LONG,0.012294,0.012065,0.012820699999999999,0.012065,SL,-1.0,False
ADAUSDT,1658248199999,2022-07-19T16:29:59.999000Z,1658248200000,2022-07-19T16:30:00Z,1658273399999,2022-07-19T23:29:59.999000Z,NORMAL,LONG,0.50931,0.5008900000000001,0.528676,0.5149,SESSION,0.6638954869358664,False
