symbol,event_date,surprise_pct,reaction_2session,pre_dd52,pre_mom63,entry_date,entry_open,ret_4w,ret_8w,ret_13w,strong_beat,underreaction,near_consensus
LOW,2017-05-24,-2.91,-0.012267076829975632,-0.04533256349366399,0.0766499758687258,2017-05-26,70.44983888270919,-0.06386868946855084,-0.08042231142844758,-0.08673318462632951,False,False,True
COST,2017-05-25,6.65,0.02803296078876283,-0.01449366645743777,0.026585606702113296,2017-05-30,158.86848253968256,-0.09837937827459642,-0.13794480937531817,-0.1329866201397456,False,False,False
MDT,2017-05-25,1.31,0.004605226093777226,-0.03565041543248304,0.05463639216689997,2017-05-30,69.56082624322413,0.04746743152864008,0.014891625254045637,-0.05845281694911153,False,False,True
ADI,2017-05-31,23.35,-0.03054222793798389,-0.004344252671128368,0.03502943769731792,2017-06-02,70.04338877765419,-0.04203949621857239,-0.0235552392088223,0.03978264431481615,True,True,False
HPE,2017-05-31,-0.26,-0.07055973700147067,-0.016177008493878264,0.10580694537453361,2017-06-02,10.633002299180916,-0.03610478850460597,0.013683595350138411,0.06799563100581452,False,False,True
AVGO,2017-06-01,5.39,0.06284673519375317,-0.014039277038988884,0.11818064772873593,2017-06-05,20.26531461877007,-0.07857339738980629,-0.024762241702642074,-0.015312598131718813,False,False,False
ADBE,2017-06-20,7.84,0.027716423227645226,-0.027643064985451105,0.11115509460850292,2017-06-22,145.15,0.033000344471236565,0.021219428177747135,0.02307957285566653,False,False,False
FDX,2017-06-20,9.42,0.008790628492025832,-0.004389222647040669,0.09715479868123866,2017-06-22,185.38506156972076,0.009914166841258787,-0.02111530204524381,0.051077677727113135,False,False,False
ORCL,2017-06-21,13.56,0.09729344028345066,-0.020269339199695535,0.026707220953497313,2017-06-23,44.54301079489696,0.014960578398516944,-0.028595076358037264,-0.04158027851833368,True,False,False
ACN,2017-06-22,0.02,-0.034379726714583225,-0.010585483451334143,0.01540796738849104,2017-06-26,109.46800882785679,0.039464417215597125,0.04076342686711665,0.11116573054032286,False,False,True
CCL,2017-06-22,9.69,0.00030142730798909945,-0.0028519963974782403,0.14705558278525643,2017-06-26,60.46123745454545,0.007065064551080136,0.0297655592445909,-0.012254751734158242,False,False,False
MU,2017-06-29,7.52,-0.07382222841861108,-0.021844263471991088,0.13122927755972547,2017-07-03,29.454950240219627,-0.06547117630456567,0.0328993853962507,0.3416420560113409,False,False,False
NKE,2017-06-29,19.87,0.105698067112165,-0.10405183752363845,-0.055365717432957595,2017-07-03,53.28290272804774,0.011649088922956352,-0.07949271738564923,-0.11518146373090066,True,False,False
PEP,2017-07-11,3.12,0.0043754604735042335,-0.0335752518785134,0.030865079203139523,2017-07-13,91.48011752324155,0.014615006112325801,0.024869693419233396,-0.014902883382229781,False,False,True
